FID,Box,x,y,adj,Species,number,Grid ref,Lat,Lng,NEAR_FID,NEAR_DIST,Bearing
66,B160,447456,207670,0,G,160,SP4745607670,51.765706,-1.3137334,5708,7.438744507,350
67,B161,447431,207646,0,G,161,SP4743107646,51.765492,-1.3140989,5706,12.07697615,280
68,B162,447426,207601,90,G,162,SP4742607601,51.765088,-1.3141775,5704,18.20373505,270
69,B163,447470,207579,0,G,163,SP4747007579,51.764887,-1.3135429,5704,31.34827936,260
70,B164,447439,207560,70,G,164,SP4743907560,51.764719,-1.3139947,5703,1.667886943,60
71,B165,447458,207520,70,G,165,SP4745807520,51.764357,-1.3137248,5702,7.966440962,60
72,B166,447461,207499,110,G,166,SP4746107499,51.764168,-1.3136842,5701,2.829050395,20
73,B168,447497,207428,0,G,168,SP4749707428,51.763527,-1.3131723,5713,5.343031742,90
74,B169,447516,207381,0,G,169,SP4751607381,51.763103,-1.3129034,5718,6.354910048,220
75,B170,447557,207398,140,G,170,SP4755707398,51.763252,-1.3123071,5722,16.41045411,40
76,B170A,447555,207378,140,G,0,SP4755507378,51.763072,-1.3123388,5721,25.05228407,140
77,B171,447581,207417,0,G,171,SP4758107417,51.763421,-1.3119568,5722,14.37271044,200
78,B172,447622,207401,60,G,172,SP4762207401,51.763274,-1.3113649,5725,26.57453017,280
79,B173,447746,207410,30,G,173,SP4774607410,51.763344,-1.3095671,5726,20.2362839,50
80,B174,447715,207419,330,G,174,SP4771507419,51.763427,-1.310015,5724,8.358104941,240
81,B175,447754,207474,250,G,175,SP4775407474,51.763919,-1.3094424,5729,0.490866453,220
82,B176,447669,207669,260,G,176,SP4766907669,51.765679,-1.3106472,5678,6.926836957,20
83,B177,447593,207741,290,G,177,SP4759307741,51.766333,-1.3117386,5711,62.85436158,150
84,B178,447527,207720,0,G,178,SP4752707720,51.76615,-1.3126978,5685,3.505995948,350
85,B179,447450,207767,90,G,179,SP4745007767,51.766579,-1.3138071,5710,62.37131735,0
86,B18,447896,207733,0,G,18,SP4789607733,51.766235,-1.3073493,5624,10.26438623,100
87,B180,447480,207789,330,G,180,SP4748007789,51.766774,-1.3133694,5732,33.79883751,160
88,B181,447525,207794,30,G,181,SP4752507794,51.766815,-1.3127167,5732,12.52756282,100
89,B182,447566,207802,160,G,182,SP4756607802,51.766883,-1.3121215,5732,53.94871202,90
90,B183,447567,207851,0,G,183,SP4756707851,51.767324,-1.3121003,5731,67.56995855,340
91,B184,447609,207850,320,G,184,SP4760907850,51.767311,-1.3114919,5733,73.67201463,250
92,B185,447637,207916,0,G,185,SP4763707916,51.767902,-1.3110771,5733,2.262526103,130
93,B186,447710,207936,0,G,186,SP4771007936,51.768076,-1.3100166,5734,16.62246287,210
